Svjetlina,Vlaga,Temperatura,CO2,Prisutnost
59.00,25.00,16.00,316,0
59.00,25.00,16.00,312,0
61.00,25.00,16.00,309,0
62.00,25.00,16.00,307,0
62.00,25.00,16.00,305,0
62.00,25.00,16.00,302,0
60.00,25.00,16.00,299,0
61.00,25.00,16.00,297,0
60.00,25.00,16.00,296,0
59.00,25.00,16.00,294,0
57.00,25.00,16.00,294,0
55.00,25.00,16.00,293,0
51.00,25.00,16.00,291,0
58.00,25.00,16.00,290,0
54.00,25.00,16.00,289,0
56.00,25.00,16.00,288,0
57.00,25.00,16.00,287,0
57.00,25.00,16.00,287,0
58.00,25.00,16.00,287,0
58.00,25.00,16.00,286,0
58.00,25.00,16.00,287,0
55.00,25.00,16.00,287,0
51.00,25.00,16.00,287,0
51.00,25.00,16.00,288,0
56.00,25.00,16.00,287,0
55.00,25.00,16.00,287,0
57.00,25.00,16.00,265,1
