Min	Avg	Max
-1	-2,9	-9
-1	-3,24	-8
-1	-2,76	-8
-1	-3,14	-10
-1	-2,88	-10
-1	-3,22	-8
-1	-2,96	-11
-1	-2,78	-8
-1	-3,16	-6
-1	-2,92	-11
-1	-3,18	-11
-1	-3,2	-12
-1	-3,16	-13
-1	-2,98	-9
-1	-2,7	-6
-1	-3,12	-7
-1	-3,46	-10
-1	-3,36	-9
-1	-2,98	-7
-1	-2,98	-11
-1	-2,8	-10
-1	-2,54	-8
-1	-2,48	-8
-1	-2,68	-9
-1	-3,08	-8
-1	-2,84	-10
-1	-3,26	-11
-1	-2,92	-8
-1	-3,18	-10
-1	-3,58	-13
-1	-3,28	-9
-1	-3,08	-7
-1	-3,06	-8
-1	-2,86	-7
-1	-3,12	-8
-1	-3	-10
-1	-2,96	-10
-1	-3,3	-9
-1	-3,14	-10
-1	-3,08	-9
-1	-2,84	-6
-1	-2,64	-7
-1	-2,6	-10
-1	-3,1	-10
-1	-2,8	-9
-1	-3	-8
-1	-2,66	-7
-1	-2,92	-8
-1	-2,74	-10
-1	-2,94	-8
-1	-3,08	-10
-1	-3,38	-10
-1	-3,02	-7
-1	-3,24	-9
-1	-3,48	-8
-1	-3,2	-9
-1	-3,08	-10
-1	-3,62	-12
-1	-3,08	-8
-1	-3,02	-8
-1	-2,46	-7
-1	-2,76	-11
-1	-2,46	-9
-1	-3,12	-9
-1	-3,28	-10
-1	-2,62	-8
-1	-2,96	-10
-1	-3	-9
-1	-3,08	-8
-1	-3	-13
-1	-3,26	-9
-1	-3,26	-9
-1	-3,44	-8
-1	-2,96	-6
-1	-2,8	-7
-1	-2,92	-8
-1	-2,9	-9
-1	-3,04	-10
-1	-3,44	-9
-1	-3,32	-9
-1	-3,22	-7
-1	-2,98	-9
-1	-3,12	-9
-1	-3,18	-10
-1	-2,84	-9
-1	-2,74	-8
-1	-2,52	-7
-1	-2,94	-9
-1	-2,94	-9
-1	-2,8	-9
-1	-2,86	-8
-1	-3,02	-9
-1	-2,74	-8
-1	-2,8	-8
-1	-2,84	-9
-1	-2,68	-10
-1	-3,2	-9
-1	-3,08	-11
-1	-3,16	-9
-1	-3,12	-9
-1	-3,76	-8
-1	-3,6	-11
-1	-3,88	-12
-1	-3,88	-8
-1	-3,32	-9
-1	-3,22	-11
-1	-3,3	-9
-1	-2,82	-13
-1	-2,92	-8
-1	-2,98	-12
-1	-2,8	-8
-1	-2,8	-7
-1	-2,9	-7
-1	-2,82	-7
-1	-2,66	-9
-1	-3	-7
-1	-3,1	-10
-1	-2,78	-7
-1	-2,3	-5
-1	-2,44	-8
-1	-2,44	-6
-1	-2,94	-9
-1	-2,8	-6
-1	-3,02	-7
-1	-3,06	-7
-1	-2,96	-7
-1	-2,62	-11
-1	-2,96	-10
-1	-3,24	-9
-1	-3,4	-11
-1	-3,64	-13
-1	-3,68	-11
-1	-3,82	-12
-1	-3,32	-8
-1	-3,04	-7
-1	-2,82	-9
-1	-3,4	-9
-1	-3,26	-11
-1	-2,96	-8
-1	-2,22	-9
-1	-2,56	-6
-1	-2,7	-7
-1	-2,98	-9
-1	-3,42	-9
-1	-3,56	-9
-1	-3,02	-9
-1	-3,26	-11
-1	-3,2	-8
-1	-3,22	-7
-1	-3,3	-12
-1	-2,96	-9
-1	-2,56	-9
-1	-2,74	-8
-1	-2,8	-7
-1	-2,82	-7
-1	-2,86	-7
-1	-2,9	-12
-1	-3,04	-8
-1	-3,06	-9
-1	-3,24	-12
-1	-3,46	-9
-1	-3,14	-10
-1	-3,18	-9
-1	-3,62	-8
-1	-3,5	-8
-1	-3,34	-9
-1	-2,76	-10
-1	-2,98	-8
-1	-3,04	-10
-1	-3,04	-8
-1	-3,22	-9
-1	-3	-9
-1	-2,9	-13
-1	-3,44	-7
-1	-3,66	-9
-1	-3,44	-9
-1	-3,62	-10
-1	-3,34	-9
-1	-3,54	-8
-1	-3,46	-11
-1	-3,34	-8
-1	-3,32	-10
-1	-3,04	-9
-1	-2,84	-9
-1	-2,96	-7
-1	-2,84	-9
-1	-2,72	-10
-1	-3,16	-7
-1	-3,52	-8
-1	-3,8	-13
-1	-3,3	-12
-1	-3,18	-10
-1	-3,26	-11
-1	-3,58	-9
-1	-3,46	-10
-1	-3,62	-11
-1	-3,64	-12
-1	-4,12	-15
-1	-4,04	-11
-1	-3,56	-9
-1	-3,36	-9
-1	-3,08	-9
-1	-3,14	-11
-1	-3,36	-12
-1	-3,86	-12
-1	-3,74	-12
-1	-3,86	-9
-1	-3,5	-9
-1	-3,48	-9
-1	-3,16	-7
-1	-3,16	-9
-1	-3,24	-8
-1	-3,12	-10
-1	-3,16	-9
-1	-3,1	-9
-1	-3	-8
-1	-2,76	-9
-1	-2,94	-9
-1	-2,9	-9
-1	-2,96	-9
-1	-2,98	-8
-1	-2,8	-8
-1	-2,86	-10
-1	-3,12	-7
-1	-3,12	-8
-1	-3,22	-9
-1	-3,32	-11
-1	-3,46	-9
-1	-3,74	-10
-1	-3,8	-12
-1	-3,22	-8
-1	-3,08	-8
-1	-2,66	-8
-1	-2,76	-10
-1	-2,7	-9
-1	-3,18	-12
-1	-3,46	-9
